replay_buffer/top,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/lmbda,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Bellman Errors 1 Mean,trainer/Bellman Errors 1 Std,trainer/Bellman Errors 1 Max,trainer/Bellman Errors 1 Min,trainer/Bellman Errors 2 Mean,trainer/Bellman Errors 2 Std,trainer/Bellman Errors 2 Max,trainer/Bellman Errors 2 Min,trainer/Policy Action Mean,trainer/Policy Action Std,trainer/Policy Action Max,trainer/Policy Action Min,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/grasp_success Mean,evaluation/env_infos/final/grasp_success Std,evaluation/env_infos/final/grasp_success Max,evaluation/env_infos/final/grasp_success Min,evaluation/env_infos/initial/grasp_success Mean,evaluation/env_infos/initial/grasp_success Std,evaluation/env_infos/initial/grasp_success Max,evaluation/env_infos/initial/grasp_success Min,evaluation/env_infos/grasp_success Mean,evaluation/env_infos/grasp_success Std,evaluation/env_infos/grasp_success Max,evaluation/env_infos/grasp_success Min,evaluation/env_infos/final/grasp_success_target Mean,evaluation/env_infos/final/grasp_success_target Std,evaluation/env_infos/final/grasp_success_target Max,evaluation/env_infos/final/grasp_success_target Min,evaluation/env_infos/initial/grasp_success_target Mean,evaluation/env_infos/initial/grasp_success_target Std,evaluation/env_infos/initial/grasp_success_target Max,evaluation/env_infos/initial/grasp_success_target Min,evaluation/env_infos/grasp_success_target Mean,evaluation/env_infos/grasp_success_target Std,evaluation/env_infos/grasp_success_target Max,evaluation/env_infos/grasp_success_target Min,evaluation/env_infos/final/place_success Mean,evaluation/env_infos/final/place_success Std,evaluation/env_infos/final/place_success Max,evaluation/env_infos/final/place_success Min,evaluation/env_infos/initial/place_success Mean,evaluation/env_infos/initial/place_success Std,evaluation/env_infos/initial/place_success Max,evaluation/env_infos/initial/place_success Min,evaluation/env_infos/place_success Mean,evaluation/env_infos/place_success Std,evaluation/env_infos/place_success Max,evaluation/env_infos/place_success Min,evaluation/env_infos/final/place_success_target Mean,evaluation/env_infos/final/place_success_target Std,evaluation/env_infos/final/place_success_target Max,evaluation/env_infos/final/place_success_target Min,evaluation/env_infos/initial/place_success_target Mean,evaluation/env_infos/initial/place_success_target Std,evaluation/env_infos/initial/place_success_target Max,evaluation/env_infos/initial/place_success_target Min,evaluation/env_infos/place_success_target Mean,evaluation/env_infos/place_success_target Std,evaluation/env_infos/place_success_target Max,evaluation/env_infos/place_success_target Min,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
275000,0.15230548,0.15232441,-2.4440672,"tensor(18594.4414, device='mps:0')",3.315574e-05,2.3629365e-12,3.3155742e-05,3.315574e-05,-2.9085668e-05,1.8189894e-12,-2.9085666e-05,-2.9085666e-05,0.15225124,0.35935378,0.9999075,-9.248454e-05,0.15230547,0.35926342,0.99974865,1.5785478e-08,0.15232441,0.35930818,0.9998731,4.019416e-09,-4.7387395e-05,0.0008499969,0.0010809526,-0.0016819168,0,0,200,5,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7387373e-05,0.0008499969,0.0010809526,-0.0016819168,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.0917327499999985,0.06381366600000149,0.2287965000000014,59.76016625,61.144509166,84.427805832,0
275000,0.025396366,0.0272861,-1.9255686,"tensor(2.3515, device='mps:0')",0.5831357,0.5993955,2.1941667,0.025610644,0.568823,0.5944609,2.2125885,0.008823799,0.59415674,0.64215815,2.23345,0.012424778,0.025396366,0.05459587,0.46932516,1.9511475e-08,0.027286097,0.07231747,0.6567051,2.1371538e-07,0.062100604,0.6923948,1.0000001,-1.0,0,0,400,10,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08596721,0.7904313,1.0000001,-1.0,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.030667875000006,0.007815957999980583,0.00035862499998984276,58.932589625000006,59.97143208299998,144.43947012399997,1
275000,0.07533802,0.09841941,-2.0629907,"tensor(0.7060, device='mps:0')",2.4713454,1.4541413,5.6789217,0.8055977,2.4033377,1.4330839,5.541436,0.7452278,2.551947,1.5226123,5.7564287,0.78121847,0.07533801,0.1393282,0.9024296,2.8178997e-07,0.09841941,0.23353395,2.754596,2.8725842e-07,0.048377868,0.623837,1.0000001,-1.0,0,0,600,15,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483318,0.5863723,0.99999875,-0.999995,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.2303655839999976,0.007910459000015635,0.0003210840000065218,60.155511792,61.39410891900002,205.85227450199994,2
275000,0.09821582,0.08638844,-2.1470652,"tensor(0.4450, device='mps:0')",4.629,1.9873015,9.130145,2.905139,4.7583046,2.0516706,9.2869005,2.966114,4.7045975,2.062509,9.056846,2.6595907,0.09821581,0.19544032,2.0497587,9.547511e-08,0.08638844,0.1562203,1.1334858,3.7368668e-06,0.04558815,0.5426651,1.0,-1.0,0,0,800,20,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0461083,0.5347637,0.99999917,-0.999995,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.1349006670000108,0.008806624999976975,0.0003817090000097778,61.126866917,62.270955918,268.14535212699997,3
275000,0.14739779,0.18563029,-2.1589072,"tensor(0.2868, device='mps:0')",7.432089,2.486482,12.407684,4.5328217,7.350208,2.463944,12.382113,4.5546393,7.5538054,2.5169518,12.525244,4.3994045,0.14739779,0.2975802,2.711534,1.039043e-05,0.18563029,0.35351443,3.8242605,2.3283063e-08,0.020169364,0.54438156,0.9999999,-0.9999998,0,0,1000,25,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024654144,0.530436,0.9999217,-0.9999232,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.1581371660000173,0.007222667000007732,0.00038020900001356495,63.411758416,64.57749845800004,332.74593066799997,4
275000,0.23914841,0.2002252,-2.2912693,"tensor(0.2205, device='mps:0')",10.411209,2.9239295,15.795304,6.4742217,10.461134,2.9316025,15.662446,5.918907,10.356789,2.9414399,15.63943,5.8624077,0.23914844,0.5573384,6.5931735,1.1085066e-06,0.2002252,0.40118548,4.0097528,1.9122124e-06,-0.10971833,0.39202052,0.601147,-0.999994,0,0,1200,30,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09205017,0.39775696,0.45210892,-0.999866,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.1268036249999795,0.022303540999985216,0.0021802910000019438,63.72247095800003,64.873758415,397.65023104000005,5
275000,0.27374578,0.28178075,-2.3413491,"tensor(0.1814, device='mps:0')",12.898069,3.2738361,18.957037,7.307276,12.850364,3.2257524,18.598059,7.4615397,12.901506,3.2381647,18.336271,7.4716935,0.27374578,0.6325341,6.935609,1.6282173e-06,0.28178072,0.72992116,7.7112284,3.1552278e-07,-0.09126021,0.34393427,0.53274214,-0.9849037,0,0,1400,35,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.070636444,0.3723658,0.52748525,-0.94696075,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.30010095800003,0.008361084000000574,0.0003979579999509042,65.569588458,66.87844845799998,464.5547234569999,6
275000,0.27949268,0.28949523,-2.345966,"tensor(0.1614, device='mps:0')",14.378331,3.5509763,20.666313,7.989552,14.346985,3.554735,20.629465,7.650932,14.314173,3.5854378,20.667177,8.146555,0.27949268,0.5462622,5.429131,9.3132246e-10,0.28949526,0.54074806,4.37013,2.7346284e-06,-0.040600553,0.3636998,0.8512312,-0.9983826,0,0,1600,40,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021427063,0.50857097,0.8263469,-0.9405438,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.8300535830000513,0.009178042000030473,0.0004184580000128335,61.31808620900006,63.15773629200015,527.7530107900001,7
275000,0.44166073,0.47242013,-2.3637695,"tensor(0.1371, device='mps:0')",17.223309,3.439159,22.823513,10.851894,17.352268,3.4476197,22.892733,11.056466,17.14026,3.439666,22.779848,10.013713,0.4416607,1.1936865,15.094138,4.3302166e-06,0.47242016,1.1917005,15.284899,2.00294e-06,-0.031122271,0.35515487,0.93607444,-0.9854879,0,0,1800,45,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008617455,0.49446118,0.931854,-0.84731495,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.7625732090000383,0.007698875000073713,0.0003199169999561491,61.86359145899996,63.63418346000003,591.4125784989999,8
275000,0.2731033,0.33582056,-2.4104214,"tensor(0.1202, device='mps:0')",20.133135,3.380519,25.153347,13.258223,19.854462,3.341677,24.75783,12.798273,20.038921,3.4098392,25.12855,12.678281,0.2731033,0.5220765,4.694549,1.8417266e-05,0.33582056,0.68806064,5.799268,2.4941398e-06,-0.014462408,0.29906118,0.9406832,-0.9106018,0,0,2000,50,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03295554,0.4310737,0.94618326,-0.6199484,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.7313702499999408,0.008110083000019586,0.00032866699996247917,59.49403841600008,61.233847416,652.6660027910001,9
