replay_buffer/top,trainer/QF1 Loss,trainer/min QF1 Loss,trainer/QF2 Loss,trainer/min QF2 Loss,trainer/Std QF1 values,trainer/Std QF2 values,trainer/QF1 in-distribution values Mean,trainer/QF1 in-distribution values Std,trainer/QF1 in-distribution values Max,trainer/QF1 in-distribution values Min,trainer/QF2 in-distribution values Mean,trainer/QF2 in-distribution values Std,trainer/QF2 in-distribution values Max,trainer/QF2 in-distribution values Min,trainer/QF1 random values Mean,trainer/QF1 random values Std,trainer/QF1 random values Max,trainer/QF1 random values Min,trainer/QF2 random values Mean,trainer/QF2 random values Std,trainer/QF2 random values Max,trainer/QF2 random values Min,trainer/QF1 next_actions values Mean,trainer/QF1 next_actions values Std,trainer/QF1 next_actions values Max,trainer/QF1 next_actions values Min,trainer/QF2 next_actions values Mean,trainer/QF2 next_actions values Std,trainer/QF2 next_actions values Max,trainer/QF2 next_actions values Min,trainer/actions Mean,trainer/actions Std,trainer/actions Max,trainer/actions Min,trainer/rewards Mean,trainer/rewards Std,trainer/rewards Max,trainer/rewards Min,trainer/Num Q Updates,trainer/Num Policy Updates,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,evaluation/env_infos/final/grasp_success Mean,evaluation/env_infos/final/grasp_success Std,evaluation/env_infos/final/grasp_success Max,evaluation/env_infos/final/grasp_success Min,evaluation/env_infos/initial/grasp_success Mean,evaluation/env_infos/initial/grasp_success Std,evaluation/env_infos/initial/grasp_success Max,evaluation/env_infos/initial/grasp_success Min,evaluation/env_infos/grasp_success Mean,evaluation/env_infos/grasp_success Std,evaluation/env_infos/grasp_success Max,evaluation/env_infos/grasp_success Min,evaluation/env_infos/final/grasp_success_target Mean,evaluation/env_infos/final/grasp_success_target Std,evaluation/env_infos/final/grasp_success_target Max,evaluation/env_infos/final/grasp_success_target Min,evaluation/env_infos/initial/grasp_success_target Mean,evaluation/env_infos/initial/grasp_success_target Std,evaluation/env_infos/initial/grasp_success_target Max,evaluation/env_infos/initial/grasp_success_target Min,evaluation/env_infos/grasp_success_target Mean,evaluation/env_infos/grasp_success_target Std,evaluation/env_infos/grasp_success_target Max,evaluation/env_infos/grasp_success_target Min,evaluation/env_infos/final/place_success Mean,evaluation/env_infos/final/place_success Std,evaluation/env_infos/final/place_success Max,evaluation/env_infos/final/place_success Min,evaluation/env_infos/initial/place_success Mean,evaluation/env_infos/initial/place_success Std,evaluation/env_infos/initial/place_success Max,evaluation/env_infos/initial/place_success Min,evaluation/env_infos/place_success Mean,evaluation/env_infos/place_success Std,evaluation/env_infos/place_success Max,evaluation/env_infos/place_success Min,evaluation/env_infos/final/place_success_target Mean,evaluation/env_infos/final/place_success_target Std,evaluation/env_infos/final/place_success_target Max,evaluation/env_infos/final/place_success_target Min,evaluation/env_infos/initial/place_success_target Mean,evaluation/env_infos/initial/place_success_target Std,evaluation/env_infos/initial/place_success_target Max,evaluation/env_infos/initial/place_success_target Min,evaluation/env_infos/place_success_target Mean,evaluation/env_infos/place_success_target Std,evaluation/env_infos/place_success_target Max,evaluation/env_infos/place_success_target Min,time/evaluation sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
275000,6.7478137,6.6228137,6.747812,6.6228137,0.45134518,0.45134515,7.086162e-05,0.0,7.086162e-05,7.086162e-05,7.823929e-05,7.275958e-12,7.8239296e-05,7.8239296e-05,7.086162e-05,0.0,7.086162e-05,7.086162e-05,7.823929e-05,7.275958e-12,7.8239296e-05,7.8239296e-05,7.086162e-05,0.0,7.086162e-05,7.086162e-05,7.823929e-05,7.275958e-12,7.8239296e-05,7.8239296e-05,0.0053147273,0.23170085,0.9,-0.9,0.125,0.3307189,1.0,0.0,1,1,-5.3966894,7.086162e-05,0.0,7.086162e-05,7.086162e-05,7.823929e-05,7.275958e-12,7.8239296e-05,7.8239296e-05,0.12506993,0.33071893,1.00007,6.99271e-05,-5.396618,0.6053204,-3.8381138,-7.9816723,0.0001008602,0.0014679122,0.0025508148,-0.002504586,5.895922e-06,0.0013871136,0.0026662191,-0.0025374317,0.9999000430107117,-0.0,0,0,200,5,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010086007,0.0014679095,0.002550809,-0.0025045807,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.1478592880000065,0.0027280599999812694,0.4028569270000162,154.461285486,157.014729761,175.37150581000003,0
275000,11.91348,0.61022854,10.095432,-1.6701465,2.593048,4.1894617,-7.1506457,3.2411404,-0.83631086,-15.311464,-10.485016,4.8874745,-1.457663,-22.098272,-11.456425,3.0986373,-2.7896547,-16.359392,-16.76598,4.085704,-3.4501255,-23.328539,-6.9958534,3.2118316,-0.24001388,-15.197728,-10.162453,4.9150825,-0.7447159,-22.162441,0.008187324,0.24535665,0.9,-0.9,0.12109375,0.3262362,1.0,0.0,1001,1001,8.457711,-3.231761,1.169201,-0.03209733,-7.008053,-3.4516995,1.5620404,0.33100387,-9.500672,-4.2777514,3.1453612,2.0179205,-13.145612,-2.0409079,1.580937,1.1768718,-7.244952,0.006362542,0.050279114,0.10101849,-0.08647445,-0.99915683,0.37792113,-0.41528353,-1.7175665,0.9079657793045044,-0.9684652090072632,0,0,400,10,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006155659,0.048584916,0.09996296,-0.07574748,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,1.8197539359999837,0.0025568500000190397,0.3238621379999813,186.029885271,188.176058195,363.64841422399996,1
275000,26.41444,-1.1117592,25.144371,-4.4368057,4.006694,6.558915,-36.68141,6.8884306,-20.734697,-53.033394,-40.518867,8.730048,-20.20241,-62.497845,-44.90107,5.271458,-27.922552,-55.700737,-53.54802,5.653521,-32.50265,-65.74382,-37.357365,6.7272005,-20.829376,-52.155857,-41.5649,8.361262,-19.51015,-59.931896,0.011675601,0.22248664,0.9,-0.9,0.1484375,0.35553312,1.0,0.0,2001,2001,39.873802,-32.27329,5.0832424,-19.758307,-41.159386,-32.126778,5.3475423,-19.710876,-42.251812,-32.05716,7.4235873,-16.189508,-51.67199,-0.77888644,1.7265685,3.0551877,-7.130142,0.008459158,0.08489157,0.35920912,-0.17840435,-1.1741084,0.4278767,-0.23563512,-1.8632174,0.8267298936843872,-1.6696065664291382,0,0,600,15,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023363302,0.060045477,0.23219393,-0.17666616,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.0884346289999485,0.0035745049999604817,0.48254191899991383,216.96199183199997,219.5365428849998,583.206163805,2
275000,37.642742,-1.8232346,29.633698,-5.4409714,5.444331,10.315496,-67.03126,13.394177,-40.018982,-95.33872,-73.00259,16.18738,-38.663677,-110.52622,-78.75545,11.233594,-43.242332,-100.4165,-92.48819,11.979874,-44.40236,-119.275,-66.70348,13.716662,-39.138885,-93.0041,-72.65759,16.86885,-39.55988,-106.78475,0.0015072472,0.23652989,0.9,-0.9,0.171875,0.37727177,1.0,0.0,3001,3001,72.30658,-62.225334,12.465675,-38.93188,-84.02419,-63.03653,13.007622,-37.663517,-83.14985,-63.857666,15.021286,-33.932426,-94.574,-0.104502775,1.9366411,4.160342,-6.5459223,0.0064372686,0.096782036,0.4300305,-0.30925447,-1.271847,0.43416148,-0.20576596,-1.9881825,0.7538278102874756,-2.2895169258117676,0,0,800,20,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031814083,0.073917225,0.20571963,-0.29120088,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.8822367660000054,0.003289746000064042,0.3960700220000035,221.40942622,224.69102275400007,807.922946151,3
275000,33.099335,-1.8721848,31.781242,-4.2510986,6.2057962,10.850666,-92.43916,18.889948,-49.13499,-130.01146,-95.86575,20.430334,-51.62429,-139.34854,-107.19719,15.775961,-58.98664,-135.39789,-118.88105,17.361773,-65.33232,-152.42575,-92.57273,18.512264,-47.850132,-126.613396,-96.132034,20.300411,-52.18312,-142.36993,0.009867704,0.23348737,0.9,-0.9,0.109375,0.31210914,1.0,0.0,4001,4001,96.91216,-89.00305,18.68675,-49.600437,-121.32769,-89.41675,18.142393,-50.870605,-119.39507,-90.661285,19.252768,-49.208683,-129.38106,0.8552423,1.8464763,5.2703314,-6.1121635,0.0073755584,0.12706883,0.53429806,-0.56418645,-1.4325272,0.46334648,-0.18154193,-2.1557314,0.6888497471809387,-2.662440299987793,0,0,1000,25,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030608006,0.08489378,0.39836976,-0.42915466,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.8276960289999806,0.00338183099984235,0.3473227730000872,211.46248709499991,214.64088772799983,1022.5918604799999,4
275000,33.526463,-1.2952652,31.409248,-2.9662323,7.594046,11.665611,-108.15773,25.66833,-57.150066,-150.41783,-111.44896,26.585161,-61.73005,-158.67328,-125.06428,21.111412,-56.089836,-163.79344,-135.67937,22.590086,-71.420876,-180.57507,-107.60591,25.489235,-58.57707,-149.81635,-110.60608,26.152094,-61.916286,-158.49577,0.0009813486,0.22224425,0.9,-0.9,0.1484375,0.35553312,1.0,0.0,5001,5001,113.27614,-105.20383,26.112183,-57.478992,-142.54036,-106.41937,25.677649,-60.56985,-149.30736,-105.685165,26.252388,-57.532013,-157.9308,1.6221211,1.9954008,5.5918536,-4.230529,0.0062028803,0.13177209,0.51656383,-0.5677063,-1.5222027,0.44059938,-0.1270676,-2.0903692,0.6305270195007324,-2.940913677215576,0,0,1200,30,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028228493,0.07166308,0.39955315,-0.44505316,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.704316279000068,0.0034918549999929382,0.36807793900015895,216.813773481,219.88965955400022,1242.509174018,5
275000,40.2892,-2.9824219,35.593403,-3.4715424,8.240548,12.7476635,-121.051735,28.549274,-63.163425,-160.78854,-121.46833,29.095917,-66.07533,-169.77051,-140.71597,23.576138,-72.093834,-185.2865,-149.85135,25.335707,-74.61187,-192.94603,-121.179214,28.65375,-64.31231,-160.43433,-121.85434,29.4203,-67.14026,-168.87668,0.0027241735,0.24507177,0.9,-0.9,0.1640625,0.37033227,1.0,0.0,6001,6001,125.215744,-117.53473,28.53665,-63.083305,-155.09439,-117.58023,28.263449,-66.1428,-153.34386,-117.06659,28.345709,-64.423294,-154.1488,2.1559467,2.1971786,6.4978886,-11.211593,0.007051441,0.16534878,0.91596675,-0.65108216,-1.5903895,0.46236846,-0.1364024,-2.1441548,0.5769227147102356,-3.213989734649658,0,0,1400,35,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.033191327,0.09358676,0.4475217,-0.42067772,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.6218096609998156,0.0033989240000664722,0.3732715219998681,218.6793524950001,221.67783260199985,1464.2136593369999,6
275000,20.122849,-2.513649,20.159084,-3.292328,8.762451,12.104471,-124.56377,30.253689,-68.664986,-168.3173,-124.25946,30.421448,-70.06315,-170.38577,-145.80676,25.658697,-74.66108,-196.43297,-151.67305,27.815805,-80.31529,-214.11145,-124.38034,30.433006,-70.85479,-166.34389,-123.40728,30.56894,-70.904884,-165.29651,0.008067352,0.23611848,0.9,-0.9,0.12890625,0.33509615,1.0,0.0,7001,7001,128.38419,-121.95349,30.68093,-68.75329,-163.67207,-120.75502,30.55645,-69.554214,-158.91966,-121.27203,30.839844,-67.8694,-169.55554,2.7219946,2.1061637,6.972228,-5.1523666,0.0068594376,0.176813,1.2006276,-0.67071813,-1.6912057,0.45536777,-0.22939365,-2.1833103,0.527398943901062,-3.376389980316162,0,0,1600,40,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031265605,0.09760658,0.50385016,-0.5222557,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.883133114000202,0.0035694489999968937,0.3867004779999661,219.65940444300008,222.93280748400025,1687.173636675,7
275000,16.975267,-1.9313431,15.917782,-2.432663,8.843838,12.715834,-125.907425,31.988478,-70.84426,-180.37697,-125.462204,32.986057,-70.35534,-181.99466,-146.96317,28.294847,-74.828636,-192.89098,-154.72272,31.978434,-75.59803,-217.30531,-126.255455,31.66037,-71.09925,-162.6325,-125.88634,32.464924,-70.90704,-165.69818,0.008975885,0.2175287,0.9,-0.9,0.14453125,0.3516276,1.0,0.0,8001,8001,129.92831,-124.3723,32.312656,-70.517845,-162.28284,-123.93355,32.658054,-69.958694,-162.99226,-124.95268,33.21371,-68.98407,-172.52379,2.9946537,1.9915298,6.910882,-4.596364,0.0101217255,0.18346815,1.4937209,-0.7257618,-1.7226303,0.42150545,-0.25123048,-2.161699,0.48168477416038513,-3.655780792236328,0,0,1800,45,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003866589,0.14661175,0.70887977,-0.5820837,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.9225844360000792,0.0034709980000116047,0.44403930899989064,214.78349211699992,218.1535868599999,1905.3543798659996,8
275000,17.008799,-2.3912048,16.040602,-2.6064453,8.94809,13.391428,-130.70135,32.263973,-68.05773,-168.36446,-131.63654,32.55215,-70.68755,-171.85675,-154.17407,25.789188,-83.609215,-196.71878,-162.7955,30.555143,-77.752,-219.66795,-131.21942,32.228443,-69.70997,-171.66425,-131.9159,32.720894,-70.67795,-176.3275,0.0090374295,0.22589573,0.9,-0.9,0.1328125,0.33937198,1.0,0.0,9001,9001,136.3495,-130.26007,32.14476,-69.4359,-165.08505,-130.65434,32.512505,-70.65888,-164.88997,-129.46164,32.818386,-67.58268,-167.62695,3.6772685,2.0914867,7.3609633,-3.7257426,0.006887741,0.17939597,1.313115,-0.76303273,-1.8032389,0.4126632,-0.2567127,-2.2772887,0.43975621461868286,-3.5508854389190674,0,0,2000,50,40.0,0.0,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012492304,0.13782005,0.7098135,-0.58052695,5,0.0,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,0.0,0.0,False,False,2.778647501000023,0.003111992999947688,0.4072812580002392,225.24628042299992,228.43532117500013,2133.8166965739997,9
